key,name,ra,dec,ll,bb,sg_xx,sg_yy,sg_zz,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,velocity_gsr,velocity_lg,ref_vlos,distance,distance_em,distance_ep,distance_modulus,distance_modulus_em,distance_modulus_ep,distance_gc,distance_m31,distance_lg,distance_host,distance_measurement_method,ref_distance,M_V,M_V_em,M_V_ep,mass_stellar,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,mass_HI,mass_HI_ul,host,confirmed_real,confirmed_galaxy,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,rhalf,rhalf_em,rhalf_ep,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,surface_brightness_rhalf,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,ref_structure,ref_structure_king,ref_structure_sersic,metallicity,metallicity_em,metallicity_ep,metallicity_type,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,age,age_em,age_ep,ref_age
cetus_3,Cetus III,31.331,-4.27,163.8102406,-61.1332557,108.58,-212.7,-77.88,,,,,,,,1.3,2.6,2.6,,,,,21.57,70.63,Geha2026ApJ...999..140G,251.19,22.1,24.23,22.0,0.2,0.2,255.06,641.3,294.16,255.06,,Homma2024PASJ...76..733H,-3.45,0.43,0.49,3.61,,,,,,3.93,mw,0,0,18.55,0.43,0.49,Homma2024PASJ...76..733H,1.23,0.19,0.42,88.48,22.77,24.48,42.66,12.7,13.64,101.0,6.0,5.0,0.76,0.08,0.06,,28.27,,,,,,,,,,,,,,,,0.57,Putman2021ApJ...913...53P,Homma2018PASJ...70S..18H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phoenix_3,Phoenix III,26.711,-41.428,267.9925939,-71.733932,-23.43,-105.36,-39.15,,,,,,,,,,,,,,,,,,114.82,5.17,11.08,20.3,0.1,0.2,115.19,772.64,392.97,115.19,cmd,Tan2026ApJ..1000...46T,-1.2,1.1,0.7,2.71,,,,,,,mw,0,0,19.1,1.1,0.7,Tan2026ApJ..1000...46T,0.85,0.37,0.61,28.69,14.68,16.14,18.35,10.55,13.27,89.0,40.0,37.0,0.52,0.45,0.18,,28.69,,,,,,,,,,,,,,,,,,Tan2026ApJ..1000...46T,,,-2.18,,,isochrone,,,,,,,,,-2.18,,,Tan2026ApJ..1000...46T,,,,,,,,,11.8,,,Tan2026ApJ..1000...46T
sextans_2,Sextans II,156.437,-0.631,245.3263372,45.3223285,-27.29,98.24,-73.84,,,,,,,,,,,,,,,,,,125.89,11.08,12.15,20.5,0.2,0.2,128.51,860.96,477.38,128.51,,Homma2024PASJ...76..733H,-3.91,0.36,0.37,3.8,,,,,,,mw,1,0,16.59,0.36,0.37,Homma2024PASJ...76..733H,4.2,0.5,0.5,152.33,22.01,24.26,114.79,18.2,19.93,-17.0,9.0,9.0,0.43,0.08,0.07,,29.96,,,,,,,,,,,,,,,,,,Homma2024PASJ...76..733H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virgo_1,Virgo I,180.038,-0.681,276.9419373,59.5776788,-35.15,81.46,-21.11,,,,,,,,,,,,,,,,,,91.2,8.02,8.8,19.8,0.2,0.2,91.07,846.51,460.2,91.07,,Homma2024PASJ...76..733H,-0.9,0.65,0.72,2.59,,,,,,2.95,mw,1,0,18.9,0.65,0.72,Homma2024PASJ...76..733H,1.76,0.4,0.49,45.98,12.05,12.89,28.87,8.93,9.65,62.0,13.0,8.0,0.59,0.14,0.12,,29.97,,,,,,,,,,,,,,,,0.45,Putman2021ApJ...913...53P,Homma2018PASJ...70S..18H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virgo_2,Virgo II,225.059,5.909,4.0665335,52.754283,-30.07,53.81,38.06,,,,,,,,,,,,,,,,,,72.44,6.98,7.72,19.3,0.22,0.22,67.85,818.28,432.15,67.85,,Cerny2023ApJ...953....1C,-1.6,0.6,0.4,2.87,,,,,,,mw,1,0,17.7,0.6,0.4,Cerny2023ApJ...953....1C,0.74,0.11,0.13,15.4,2.85,3.1,15.4,2.85,3.1,,,,,,,0.3,27.91,,,,,,,,,,,,,,,,,,Cerny2023ApJ...953....1C,,,-1.9,,,isochrone,,,,,,,,,-1.9,,,Cerny2023ApJ...953....1C,,,,,,,,,,,,
virgo_3,Virgo III,186.348,4.441,286.4758772,66.4770084,-51.84,141.35,-15.55,,,,,,,,,,,,,,,,,,151.36,13.32,14.6,20.9,0.2,0.2,150.65,888.29,505.29,150.65,,Homma2024PASJ...76..733H,-2.69,0.56,0.45,3.31,,,,,,,mw,0,0,18.21,0.56,0.45,Homma2024PASJ...76..733H,1.0,0.2,0.2,43.42,9.22,9.98,35.86,8.71,9.28,-24.0,26.0,21.0,0.29,0.19,0.15,,28.65,,,,,,,,,,,,,,,,,,Homma2024PASJ...76..733H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andromeda_01,Andromeda I,11.41542,38.0375,121.6788576,-24.8201935,678.29,-344.84,153.52,,,,,,,,-376.3,2.2,2.2,10.2,1.9,1.9,,-196.01,-116.03,Tollerud2012ApJ...752...45T,776.25,17.67,18.08,24.45,0.05,0.05,780.15,44.39,389.41,44.39,,Savino2022ApJ...938..101S,-11.35,0.2,0.2,6.77,7.86,0.18,0.15,,,4.91,m_031,1,1,13.1,0.2,0.2,Martin2016ApJ...833..167M,3.9,0.1,0.1,879.76,29.78,30.62,746.65,29.79,30.01,30.0,4.0,4.0,0.28,0.03,0.03,,26.59,2.7,0.3,0.3,10.4,0.9,0.9,,,,,,,,,,0.57,Putman2021ApJ...913...53P,Martin2016ApJ...833..167M,McConnachie2006MNRAS.365.1263M,,-1.51,0.02,0.02,spectroscopic,-1.51,0.02,0.02,0.34,,,,Kirby2020AJ....159...46K,,,,,,,,,,,,,,,,
andromeda_02,Andromeda II,19.11167,33.43528,128.9048217,-29.1462599,576.03,-332.23,49.46,,,,,,,,-192.4,0.5,0.5,7.8,1.1,1.1,,-36.34,41.34,Ho2012ApJ...758..124H,666.81,15.18,15.53,24.12,0.05,0.05,671.3,169.24,293.27,169.24,,Savino2022ApJ...938..101S,-11.72,0.2,0.2,6.92,7.73,0.13,0.12,,,4.66,m_031,1,1,12.4,0.2,0.2,Martin2016ApJ...833..167M,5.3,0.1,0.1,1027.21,30.07,31.16,941.57,29.91,30.57,31.0,5.0,5.0,0.16,0.02,0.02,,26.72,5.2,0.2,0.2,22.0,1.0,1.0,,,,,,,,,,0.44,Putman2021ApJ...913...53P,Martin2016ApJ...833..167M,McConnachie2006MNRAS.365.1263M,,-1.47,0.01,0.01,spectroscopic,-1.47,0.006,0.006,,,,,Wojno2020ApJ...895...78W,,,,,,,,,,,,,,,,
andromeda_09,Andromeda IX,13.2225,43.19917,123.2129622,-19.6717852,640.46,-252.48,134.57,,,,,,,,-209.4,2.5,2.5,10.9,2.0,2.0,,-25.19,54.53,Tollerud2012ApJ...752...45T,701.46,19.12,19.65,24.23,0.06,0.06,705.68,82.46,314.32,82.46,,Savino2022ApJ...938..101S,-8.63,0.3,0.3,5.69,7.64,0.18,0.16,,,4.67,m_031,1,1,15.6,0.3,0.3,Martin2016ApJ...833..167M,2.0,0.2,0.3,406.24,51.38,52.5,393.4,52.2,52.02,41.0,65.0,65.0,0.0,0.0,0.16,,27.91,,,,,,,,,,,,,,,,0.4,Putman2021ApJ...913...53P,Martin2016ApJ...833..167M,,,-2.03,0.0,0.0,spectroscopic,-2.03,0.001,0.001,,,,,Wojno2020ApJ...895...78W,,,,,,,,,,,,,,,,
andromeda_10,Andromeda X,16.6475,44.8075,125.7565351,-17.9811311,587.85,-206.89,98.64,,,,,,,,-164.1,1.7,1.7,6.4,1.4,1.4,,15.9,94.86,Tollerud2012ApJ...752...45T,630.96,17.2,17.68,24.0,0.06,0.06,635.51,160.65,247.65,160.65,,Savino2022ApJ...938..101S,-7.3,0.3,0.3,5.15,6.81,0.26,0.22,,,4.48,m_031,1,1,16.7,0.3,0.3,Martin2016ApJ...833..167M,1.1,0.2,0.4,199.94,54.22,55.66,175.37,51.14,53.82,30.0,12.0,20.0,0.1,0.1,0.34,,27.49,,,,,,,,,,,,,,,,0.32,Putman2021ApJ...913...53P,Martin2016ApJ...833..167M,,,-2.27,0.03,0.03,spectroscopic,-2.27,0.03,0.03,0.47,,,,Kirby2020AJ....159...46K,,,,,,,,,,,,,,,,
